Designator,Mid X,Mid Y,Layer,Rotation
C1,133,-116.25,bottom,180
C2,132.6725,-118.98,bottom,180
C4,101.8,-124.6,bottom,90
C5,105.675,-113.525,bottom,0
C8,102.8,-127.8,bottom,-90
C9,104.8,-127.8,bottom,-90
C10,87,-123,bottom,-90
C11,89,-123,bottom,-90
C12,100.55,-127.9,bottom,-90
C13,96.5,-123.7,bottom,-90
C14,104.2,-124.6,bottom,180
D10,93.5,-120,bottom,90
D21,159.25,-119.5,bottom,-90
D22,138.0725,-116.09,bottom,0
L1,87.75,-118.25,bottom,90
L2,114.94,-122.67,bottom,-90
L3,128.53,-123,bottom,-90
L4,142.5,-123.5,bottom,-90
L5,156.5,-123.4,bottom,-90
Q9,155.3,-119.205,bottom,0
R2,109,-116.5,bottom,90
R3,98.3,-127.8,bottom,-90
R4,96,-127.6,bottom,90
R9,109,-119.75,bottom,90
R10,115,-121.25,bottom,180
R11,128.575,-121.5,bottom,180
R12,142.5,-122.1,bottom,180
R13,156.3,-121.8,bottom,180
R35,138,-118.75,bottom,180
R36,151.12,-119.12,bottom,-90
SW2,116.46025,-125.34,bottom,180
SW3,130.526917,-125.34,bottom,180
SW4,144.593583,-125.34,bottom,180
SW5,158.66025,-125.5,bottom,180
U1,126.5,-116.25,bottom,90
U3,92.25,-127.5,bottom,180
U5,102,-118.5,bottom,90
U7,145.18,-119.1,bottom,0
Y3,99.2,-124,bottom,180
C3,100.25,-114.5,top,180
C6,100.5,-119.25,top,0
C7,96.51,-117.87,top,90
CN12,113,-109.6,top,180
D1,104.8,-115.5,top,-90
D2,132.7175,-123.25,top,180
D3,140.228333,-123.25,top,0
D4,132.6725,-118.98,top,180
D5,140.228333,-118.98,top,0
D6,106.4,-115.5,top,-90
D7,127.09,-121.25,top,-90
D8,124.43,-121.4,top,-90
D9,100,-116.6,top,180
D11,155,-119,top,0
D12,147.75,-123.25,top,0
D13,147.75,-119,top,180
D14,155,-123.25,top,180
J1,90.715,-122.27,top,-90
J2,88.17,-114.06,top,90
J3,163.16,-126.87,top,90
J5,126.5,-110,top,180
J6,100.65,-126.1,top,0
J8,155.25,-129.25,top,180
K6,111.61,-128.95,top,0
R1,111.8,-113.25,top,0
R14,103.2,-115.6,top,-90
R15,107.9,-115.4,top,-90
R16,126.7,-125.1,top,0
R17,123.6,-125.1,top,0
RV1,135.33,-128.08,top,-90
SW1,100.04,-111.5,top,180
SW6,142.75,-110,top,0
U2,146.34,-115.08,top,0
U4,114.41,-120.5,top,0
Y4,107,-124.3,top,90
